date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:02	109/109	---M-Z	200	added ('OK')	text/plain	etag:%222d8fb7a7252bd5b16b3454018ffce019%22	https://empowered-surprise-345534.framer.app/robots.txt		(from )
14:31:02	468714/468714	---M-Z	200	added ('OK')	text/html	etag:%221184ec61af582c29940e315f4e8ff953%22	https://empowered-surprise-345534.framer.app/	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/empowered-surprise-345534.framer.app/index.html	(from )
14:31:03	832/832	---MC-	200	added ('OK')	image/png	etag:%223bb01a7a24fbc7a1df69290054c345da%22	https://framerusercontent.com/images/R3DZmylcjXIFxppxDVOpV4G2cLc.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/R3DZmylcjXIFxppxDVOpV4G2cLc.png	(from https://empowered-surprise-345534.framer.app/)
14:31:04	46684/46684	---M--	200	added ('OK')	image/png	etag:%22e56bfbfd3cc74068aeed3b8badc9b08c%22	https://framerusercontent.com/assets/4X69lABKxVNjpvZnAzCvUmK81M.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/assets/4X69lABKxVNjpvZnAzCvUmK81M.png	(from https://empowered-surprise-345534.framer.app/)
14:31:04	22023/22023	---MC-	200	added ('OK')	image/png	etag:%22262959d0e5b22f0623f5c9399043b73a%22	https://framerusercontent.com/images/PqQO6sXG2LdnBL2bFbWwJsC8c.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/PqQO6sXG2LdnBL2bFbWwJsC8c.png	(from https://empowered-surprise-345534.framer.app/)
14:31:04	21542/21542	---MC-	200	added ('OK')	image/jpeg	etag:%22c50c22ca154fc909c6a1bb28823cc337%22	https://framerusercontent.com/images/zD5YOAhzOzuOk015DU7X7qNNGI.jpg?scale-down-to=512	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/zD5YOAhzOzuOk015DU7X7qNNGI17f5.jpg	(from https://empowered-surprise-345534.framer.app/)
14:31:05	19349/19349	---MC-	200	added ('OK')	image/jpeg	etag:%22443dc2388b79b44bdaefb1cdded11921%22	https://framerusercontent.com/images/71Lkazp81ZpTwq5E8mgETaQgA8.jpg	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/71Lkazp81ZpTwq5E8mgETaQgA8.jpg	(from https://empowered-surprise-345534.framer.app/)
14:31:05	22391/22391	---MC-	200	added ('OK')	image/jpeg	etag:%226389e5f22cf7673a2c75036ddbd4d334%22	https://framerusercontent.com/images/lRrPICMkVKTOrJaQQBoCo6ZxxA.jpg?scale-down-to=512	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/lRrPICMkVKTOrJaQQBoCo6ZxxA17f5.jpg	(from https://empowered-surprise-345534.framer.app/)
14:31:05	33780/33780	---MC-	200	added ('OK')	image/jpeg	etag:%22daf127995353f1ebb16322609ffadcf3%22	https://framerusercontent.com/images/9TKZna4TfSaouPHKZ1nNGn5s4.jpg?scale-down-to=512	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/9TKZna4TfSaouPHKZ1nNGn5s417f5.jpg	(from https://empowered-surprise-345534.framer.app/)
14:31:05	20146/20146	---MC-	200	added ('OK')	image/jpeg	etag:%221064db2f591534a4ace0a1c19f78aa09%22	https://framerusercontent.com/images/Br0m8k72i6obkxvmy0bdrdCw50Y.jpg	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/Br0m8k72i6obkxvmy0bdrdCw50Y.jpg	(from https://empowered-surprise-345534.framer.app/)
14:31:06	5719/5719	---MC-	200	added ('OK')	image/png	etag:%2285aae5c294f263387df87fcd9dd4c486%22	https://framerusercontent.com/images/nrqIEgf1W5B9CDS5cgXe8wqpM.png?scale-down-to=1024	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/nrqIEgf1W5B9CDS5cgXe8wqpMbf23.png	(from https://empowered-surprise-345534.framer.app/)
14:31:07	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2025%20May%202024%2011:31:06%20GMT	https://empowered-surprise-345534.framer.app/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2081%2054%22%3E%3Cg%20transform%3D%22translate(5.623%204.041	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/empowered-surprise-345534.framer.app/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2081%2054___g%20transform=_translate(5.6	(from https://empowered-surprise-345534.framer.app/)
14:31:10	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2025%20May%202024%2011:31:08%20GMT	https://empowered-surprise-345534.framer.app/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%20206%2054%22%3E%3Cg%20transform%3D%22translate(23%2018.43	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/empowered-surprise-345534.framer.app/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%20206%2054___g%20transform=_translate(23	(from https://empowered-surprise-345534.framer.app/)
14:31:10	4081462/4081462	---MC-	200	added ('OK')	image/gif	etag:%221c9be0975338355a9a0763fde48da1a0%22	https://framerusercontent.com/images/ScOmNWPOLfXmHkEhlWgm363rnkM.gif	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/ScOmNWPOLfXmHkEhlWgm363rnkM.gif	(from https://empowered-surprise-345534.framer.app/)
14:31:14	3443507/3443507	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2020%20May%202024%2021:55:40%20GMT	https://framerusercontent.com/images/HnhpxTHTAwE18VvuvNHTwCtdiZ4.jpg	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/HnhpxTHTAwE18VvuvNHTwCtdiZ4.jpg	(from https://empowered-surprise-345534.framer.app/)
14:31:14	1446247/1446247	---MC-	200	added ('OK')	image/png	etag:%224282da432954bfad4e1862b025278dba%22	https://framerusercontent.com/images/mq9JOvIg72thtIn9KKVbgBVY7nA.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/mq9JOvIg72thtIn9KKVbgBVY7nA.png	(from https://empowered-surprise-345534.framer.app/)
14:31:14	1188/1188	---MC-	200	added ('OK')	image/png	etag:%22cb290faa038d0d8a4a6aeadc68df06df%22	https://framerusercontent.com/images/gJyEtxJApt2EBOIROgux5XF9as.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/gJyEtxJApt2EBOIROgux5XF9as.png	(from https://empowered-surprise-345534.framer.app/)
14:31:14	9518/9518	---MC-	200	added ('OK')	image/png	etag:%22d64c83b7edb020158b69cd21fa44b698%22	https://framerusercontent.com/images/6vPxJ4sweycvcgadEZSiAMKyVvo.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/6vPxJ4sweycvcgadEZSiAMKyVvo.png	(from https://empowered-surprise-345534.framer.app/)
14:31:15	21803/21803	---MC-	200	added ('OK')	image/png	etag:%220f9b55d1791005063c569b5656b537e6%22	https://framerusercontent.com/images/Bie4iprTYLC4TK8FOgqf8v0SjHI.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/Bie4iprTYLC4TK8FOgqf8v0SjHI.png	(from https://empowered-surprise-345534.framer.app/)
14:31:15	41746/41746	---MC-	200	added ('OK')	image/png	etag:%2275f093626eaa13b603ce626341e43b8b%22	https://framerusercontent.com/images/eyoJSKHfRNoMCUbQWLdsuzjzr3M.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/eyoJSKHfRNoMCUbQWLdsuzjzr3M.png	(from https://empowered-surprise-345534.framer.app/)
14:31:15	2960/2960	---MC-	200	added ('OK')	image/png	etag:%2211be988375dad54f245114844553be11%22	https://framerusercontent.com/images/qA9Bqdszu22YcEsyBNBLtf4qDY.png	C:/Users/ORANGE%20ACADEMY/Desktop/Akin/man/framerusercontent.com/images/qA9Bqdszu22YcEsyBNBLtf4qDY.png	(from https://empowered-surprise-345534.framer.app/)
